major_raw,hot_rank,hot_score,category,description
CongNgheThongTin,1,100,Cong Nghe Thong Tin,"AI, Machine Learning, Data Science, Software Engineering, Cybersecurity"
YKhoa,2,100,Y Khoa,"Y tế, Y tế công nghệ, Điều dưỡng"
KinhTe,3,100,Kinh Te,"Kinh tế, Tài chính, Fintech, Ngân hàng"
Marketing,4,100,Marketing,"Marketing số, Digital Marketing, Quảng cáo trực tuyến"
KeToan,5,100,Ke Toán,"Kế toán, Kiểm toán, Tài chính doanh nghiệp"
SuPham,6,100,Sư Phạm,"Giáo dục mầm non, THCS, THPT, Đào tạo"
NgonNguAnh,7,100,Ngoại Ngữ Anh,"Giảng dạy tiếng Anh, Dịch phiên, Nội dung ngoại ngữ"
Luat,8,100,Luật,"Luật doanh nghiệp, Luật sở hữu trí tuệ, Luật lao động"
KyThuatOTo,9,100,Kỹ Thuật Ô Tô,"Kỹ thuật ô tô, Xe điện, Tự động hóa"
KienTruc,10,100,Kiến Trúc,"Kiến trúc, Thiết kế nội thất, Xây dựng bền vững"
QuanTriKhachSan,11,100,Quản Trị Khách Sạn,"Quản lý khách sạn, Du lịch, Lễ tân"
TamLyHoc,12,100,Tâm Lý Học,"Tâm lý clinic, Tư vấn, Nhân sự"